file,rank,slope_rank,random_forest,gini,info_gain,chi2,slope_rank_gb,slope_rank_minmax,slope_rank_std,slope_rank_gb_std,slope_rank_gb_minmax
madelon.csv,slope_rank,10.0,3.0,2.0,1.0,2.0,4.0,2.0,2.0,2.0,2.0
madelon.csv,random_forest,3.0,10.0,6.0,5.0,6.0,2.0,7.0,7.0,4.0,4.0
madelon.csv,gini,2.0,6.0,10.0,9.0,5.0,3.0,5.0,5.0,6.0,6.0
madelon.csv,info_gain,1.0,5.0,9.0,10.0,6.0,2.0,5.0,5.0,6.0,6.0
madelon.csv,chi2,2.0,6.0,5.0,6.0,10.0,1.0,9.0,8.0,6.0,6.0
madelon.csv,slope_rank_gb,4.0,2.0,3.0,2.0,1.0,10.0,1.0,1.0,2.0,2.0
madelon.csv,slope_rank_minmax,2.0,7.0,5.0,5.0,9.0,1.0,10.0,9.0,6.0,6.0
madelon.csv,slope_rank_std,2.0,7.0,5.0,5.0,8.0,1.0,9.0,10.0,5.0,5.0
madelon.csv,slope_rank_gb_std,2.0,4.0,6.0,6.0,6.0,2.0,6.0,5.0,10.0,10.0
madelon.csv,slope_rank_gb_minmax,2.0,4.0,6.0,6.0,6.0,2.0,6.0,5.0,10.0,10.0
sceneCsvBeach.csv,slope_rank,10.0,5.0,3.0,3.0,2.0,3.0,8.0,7.0,4.0,4.0
sceneCsvBeach.csv,random_forest,5.0,10.0,4.0,2.0,2.0,3.0,5.0,6.0,4.0,3.0
sceneCsvBeach.csv,gini,3.0,4.0,10.0,4.0,1.0,4.0,3.0,3.0,4.0,5.0
sceneCsvBeach.csv,info_gain,3.0,2.0,4.0,10.0,2.0,6.0,4.0,2.0,4.0,4.0
sceneCsvBeach.csv,chi2,2.0,2.0,1.0,2.0,10.0,2.0,1.0,2.0,4.0,2.0
sceneCsvBeach.csv,slope_rank_gb,3.0,3.0,4.0,6.0,2.0,10.0,4.0,3.0,7.0,7.0
sceneCsvBeach.csv,slope_rank_minmax,8.0,5.0,3.0,4.0,1.0,4.0,10.0,5.0,4.0,4.0
